DateTime,competition,category,name,team,team.abb,score,born
1/8/2017,Invitational Figures San Francisco,10 and under,"MAENG, ERIN",Sacramento Synchronized Swim,SSS,49.3333,
1/8/2017,Invitational Figures San Francisco,10 and under,"BEGOSSI, MAKO",Walnut Creek Aquanuts,WCA,47.88,
1/8/2017,Invitational Figures San Francisco,10 and under,"KING, EMMA",Walnut Creek Aquanuts,WCA,47.0933,
1/8/2017,Invitational Figures San Francisco,10 and under,"DAVITIANI, CHLOE",Walnut Creek Aquanuts,WCA,46.1288,
1/8/2017,Invitational Figures San Francisco,10 and under,"CHANDRASEKARAN, GEETHA",Walnut Creek Aquanuts,WCA,45.5244,
1/8/2017,Invitational Figures San Francisco,10 and under,"INGERSOL, MAXINA",Walnut Creek Aquanuts,WCA,44.5556,
1/8/2017,Invitational Figures San Francisco,10 and under,"AKERS, MADDISEN",Walnut Creek Aquanuts,WCA,44.2755,
1/8/2017,Invitational Figures San Francisco,10 and under,"DOUGLUS, KATE",Walnut Creek Aquanuts,WCA,42.8089,
1/8/2017,Invitational Figures San Francisco,10 and under,"CHU, AVA",Walnut Creek Aquanuts,WCA,42.4712,
1/8/2017,Invitational Figures San Francisco,10 and under,"ZHENG, CLAIRE",Santa Clara Aquamaids,SCA,41.7601,
1/8/2017,Invitational Figures San Francisco,10 and under,"LUONG, CORLISSA",Santa Clara Aquamaids,SCA,41.4355,
1/8/2017,Invitational Figures San Francisco,10 and under,"LIN, HANNAH",Santa Clara Aquamaids,SCA,40.1732,
1/8/2017,Invitational Figures San Francisco,10 and under,"XUE, KAREN",Walnut Creek Aquanuts,WCA,39.5957,
1/8/2017,Invitational Figures San Francisco,10 and under,"RYOU, HANNAH",Santa Clara Aquamaids,SCA,38.9467,
1/8/2017,Invitational Figures San Francisco,10 and under,"IYER, ILINA",Walnut Creek Aquanuts,WCA,38.5912,
1/8/2017,Invitational Figures San Francisco,10 and under,"ZHAMAKO, NICOLE",Santa Clara Aquamaids,SCA,38.4044,
1/8/2017,Invitational Figures San Francisco,10 and under,"ANGELOVA, IVANA",Santa Clara Aquamaids,SCA,38.0045,
1/8/2017,Invitational Figures San Francisco,10 and under,"ZHAI, ISA",Santa Clara Aquamaids,SCA,36.3644,
1/8/2017,Invitational Figures San Francisco,10 and under,"LI, KRYSTAL",Santa Clara Aquamaids,SCA,36.0577,
1/8/2017,Invitational Figures San Francisco,10 and under,"PHAN, MADDIE",Walnut Creek Aquanuts,WCA,35.9379,
1/8/2017,Invitational Figures San Francisco,10 and under,"NOZUE, MANA",Sacramento Synchronized Swim,SSS,35.8133,
1/8/2017,Invitational Figures San Francisco,10 and under,"KIM, KATIE",Santa Clara Aquamaids,SCA,35.8045,
1/8/2017,Invitational Figures San Francisco,10 and under,"JONES, CAROLYN",Walnut Creek Aquanuts,WCA,34.2755,
1/8/2017,Invitational Figures San Francisco,10 and under,"BARRY, AYLA",Santa Clara Aquamaids,SCA,33.9288,
1/8/2017,Invitational Figures San Francisco,10 and under,"BELLET, MORIAH",Walnut Creek Aquanuts,WCA,32.4977,
1/8/2017,Invitational Figures San Francisco,10 and under,"WOO, ELLEN",Walnut Creek Aquanuts,WCA,31.1023,
1/8/2017,Invitational Figures San Francisco,10 and under,"CERRUTI, SAMANTHA",Walnut Creek Aquanuts,WCA,31.0356,
1/8/2017,Invitational Figures San Francisco,10 and under,"SHAKERI, NIRA",Santa Clara Aquamaids,SCA,30.2889,
1/8/2017,Invitational Figures San Francisco,10 and under,"ACEVEDO, SOfIA",Walnut Creek Aquanuts,WCA,28.8533,
1/8/2017,Invitational Figures San Francisco,10 and under,"MINEYEVA, DIANA",Walnut Creek Aquanuts,WCA,28.3423,
1/8/2017,Invitational Figures San Francisco,11-12,"PARK, JUNA",Sacramento Synchronized Swim,SSS,59.0756,
1/8/2017,Invitational Figures San Francisco,11-12,"ZUNIGA, GIORDANNA",Walnut Creek Aquanuts,WCA,58.9821,
1/8/2017,Invitational Figures San Francisco,11-12,"OVADIA, DALIA",Walnut Creek Aquanuts,WCA,58.1244,
1/8/2017,Invitational Figures San Francisco,11-12,"YI, LYDIA",Santa Clara Aquamaids,SCA,57.1201,
1/8/2017,Invitational Figures San Francisco,11-12,"MOORE, EMMA",Walnut Creek Aquanuts,WCA,56.6489,
1/8/2017,Invitational Figures San Francisco,11-12,"WONG, RADIA",Santa Clara Aquamaids,SCA,55.7912,
1/8/2017,Invitational Figures San Francisco,11-12,"NAKARI, SELINA",Santa Clara Aquamaids,SCA,55.2845,
1/8/2017,Invitational Figures San Francisco,11-12,"PEREZ, OLIVIA",Santa Clara Aquamaids,SCA,55.1645,
1/8/2017,Invitational Figures San Francisco,11-12,"MCCREIGHT, TAYLOR",Santa Clara Aquamaids,SCA,54.2977,
1/8/2017,Invitational Figures San Francisco,11-12,"REBENSDORF, MIA",Sacramento Synchronized Swim,SSS,54.2888,
1/8/2017,Invitational Figures San Francisco,11-12,"BONACORSO, GIANNA",Sacramento Synchronized Swim,SSS,53.9956,
1/8/2017,Invitational Figures San Francisco,11-12,"YAMAMOTO, MIYA",Walnut Creek Aquanuts,WCA,53.4533,
1/8/2017,Invitational Figures San Francisco,11-12,"O'NEIL, AYLA",Walnut Creek Aquanuts,WCA,52.9023,
1/8/2017,Invitational Figures San Francisco,11-12,"KAWAKAMI, CARMEN",Walnut Creek Aquanuts,WCA,52.5379,
1/8/2017,Invitational Figures San Francisco,11-12,"KWAN, KAITLYN",Santa Clara Aquamaids,SCA,51.9689,
1/8/2017,Invitational Figures San Francisco,11-12,"WOELFEL, MORGAN",Walnut Creek Aquanuts,WCA,51.7511,
1/8/2017,Invitational Figures San Francisco,11-12,"WATHEN, JESSICA",Walnut Creek Aquanuts,WCA,51.6177,
1/8/2017,Invitational Figures San Francisco,11-12,"ALEXANDER, ZAHRA",Redwood Empire Aquastars,RES,49.2,
1/8/2017,Invitational Figures San Francisco,11-12,"MA, CAROLINA",Santa Clara Aquamaids,SCA,48.5555,
1/8/2017,Invitational Figures San Francisco,11-12,"TAPPER, ISABELLA",Santa Clara Aquamaids,SCA,48.4221,
1/8/2017,Invitational Figures San Francisco,11-12,"DANIEL, PERRY",Santa Clara Aquamaids,SCA,47.4356,
1/8/2017,Invitational Figures San Francisco,11-12,"PHAY, LILA",Santa Clara Aquamaids,SCA,46.9468,
1/8/2017,Invitational Figures San Francisco,11-12,"ROBBINS, MEREDITH",Santa Clara Aquamaids,SCA,46.7201,
1/8/2017,Invitational Figures San Francisco,11-12,"ELEFTHERIADAS, ZOE",Walnut Creek Aquanuts,WCA,45.7111,
1/8/2017,Invitational Figures San Francisco,11-12,"DIRVEN, JANNEKE",Santa Clara Aquamaids,SCA,45.4089,
1/8/2017,Invitational Figures San Francisco,11-12,"CHIANG, IRIS",Santa Clara Aquamaids,SCA,45.08,
1/8/2017,Invitational Figures San Francisco,11-12,"ZHAI, LINA",Santa Clara Aquamaids,SCA,44.6091,
1/8/2017,Invitational Figures San Francisco,11-12,"KANG, ALICE",Santa Clara Aquamaids,SCA,44.3377,
1/8/2017,Invitational Figures San Francisco,11-12,"LI, SHERRY",Santa Clara Aquamaids,SCA,44.2535,
1/8/2017,Invitational Figures San Francisco,11-12,"CHEONG, ALISSA",Santa Clara Aquamaids,SCA,44.2355,
1/8/2017,Invitational Figures San Francisco,11-12,"HOFSTEDT, MICHAELLA",Santa Clara Aquamaids,SCA,43.2311,
1/8/2017,Invitational Figures San Francisco,11-12,"LEE, ALICIA",Santa Clara Aquamaids,SCA,42.9688,
1/8/2017,Invitational Figures San Francisco,11-12,"MARCELINO, TENNILLE",Sacramento Synchronized Swim,SSS,42.1689,
1/8/2017,Invitational Figures San Francisco,11-12,"DELLIGATTI, ALESSANDRA",Walnut Creek Aquanuts,WCA,41.6489,
1/8/2017,Invitational Figures San Francisco,11-12,"IP, HANNAH",Santa Clara Aquamaids,SCA,40.6311,
1/8/2017,Invitational Figures San Francisco,11-12,"KIM, ERIN",Walnut Creek Aquanuts,WCA,40.4089,
1/8/2017,Invitational Figures San Francisco,11-12,"SUN, HEIDI",Walnut Creek Aquanuts,WCA,40.3689,
1/8/2017,Invitational Figures San Francisco,11-12,"PIZZA, ADRIANNA",Walnut Creek Aquanuts,WCA,39.1867,
1/8/2017,Invitational Figures San Francisco,11-12,"HEGDE, TIA",Santa Clara Aquamaids,SCA,38.5999,
1/8/2017,Invitational Figures San Francisco,11-12,"LI, KATHERINE",Santa Clara Aquamaids,SCA,38.1245,
1/8/2017,Invitational Figures San Francisco,11-12,"CAI, IRIS",Santa Clara Aquamaids,SCA,38.0223,
1/8/2017,Invitational Figures San Francisco,11-12,"LUO, SOPHIA",Walnut Creek Aquanuts,WCA,37.9821,
1/8/2017,Invitational Figures San Francisco,11-12,"DELLIGATTI, AMALEE",Walnut Creek Aquanuts,WCA,37.8045,
1/8/2017,Invitational Figures San Francisco,11-12,"ZEIPH, JOSIE",Walnut Creek Aquanuts,WCA,36.3068,
1/8/2017,Invitational Figures San Francisco,11-12,"WOO, ELLA",Walnut Creek Aquanuts,WCA,36.0044,
1/8/2017,Invitational Figures San Francisco,13-15,"GOOT, NICOLE",Santa Clara Aquamaids,SCA,70.0074,
1/8/2017,Invitational Figures San Francisco,13-15,"ELIAN, YARA",Walnut Creek Aquanuts,WCA,69.5556,
1/8/2017,Invitational Figures San Francisco,13-15,"KONG, SOPHIA",Walnut Creek Aquanuts,WCA,68.3408,
1/8/2017,Invitational Figures San Francisco,13-15,"HOANG, KAITLYN",Santa Clara Aquamaids,SCA,68,
1/8/2017,Invitational Figures San Francisco,13-15,"HEFFERNAN, HANNAH",Santa Clara Aquamaids,SCA,67.1259,
1/8/2017,Invitational Figures San Francisco,13-15,"STEELE, CHIARA",Santa Clara Aquamaids,SCA,66.7778,
1/8/2017,Invitational Figures San Francisco,13-15,"KIM, CLAIRE",Santa Clara Aquamaids,SCA,66.6518,
1/8/2017,Invitational Figures San Francisco,13-15,"SHOEL, MJ",Sacramento Synchronized Swim,SSS,64.726,
1/8/2017,Invitational Figures San Francisco,13-15,"RUTAN, AUBRIE",Sacramento Synchronized Swim,SSS,64.5851,
1/8/2017,Invitational Figures San Francisco,13-15,"KING, MARLENA",Walnut Creek Aquanuts,WCA,64.1851,
1/8/2017,Invitational Figures San Francisco,13-15,"WONG, MEGAN",Walnut Creek Aquanuts,WCA,64.0222,
1/8/2017,Invitational Figures San Francisco,13-15,"LEWIS, RYAN",Walnut Creek Aquanuts,WCA,63.9407,
1/8/2017,Invitational Figures San Francisco,13-15,"WEAVER, MARILYN",Santa Clara Aquamaids,SCA,63.837,
1/8/2017,Invitational Figures San Francisco,13-15,"BEGOSSI, MIKO",Walnut Creek Aquanuts,WCA,63.8297,
1/8/2017,Invitational Figures San Francisco,13-15,"STANTON, ARIANA",Walnut Creek Aquanuts,WCA,63.2814,
1/8/2017,Invitational Figures San Francisco,13-15,"DING, HEATHER",Walnut Creek Aquanuts,WCA,63.2149,
1/8/2017,Invitational Figures San Francisco,13-15,"KERNER, MEGAN",Walnut Creek Aquanuts,WCA,62.8444,
1/8/2017,Invitational Figures San Francisco,13-15,"YAMAMOTO, MARI",Walnut Creek Aquanuts,WCA,61.9852,
1/8/2017,Invitational Figures San Francisco,13-15,"DING, EMILY",Santa Clara Aquamaids,SCA,61.9186,
1/8/2017,Invitational Figures San Francisco,13-15,"SCHIMMEL, BEVERLY",Walnut Creek Aquanuts,WCA,61.563,
